customer_id,tenure,city,zip_code,latitude,longitude,offer,phone_service,multiple_lines,internet_service,internet_type,gigabits_used,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,unlimited_data,contract,payment_method,monthly_charge,total_charges,total_revenue,gender,age,married,kidhome,teenhome,income,churn
26,55,733,93648,36.622237,-119.521126,0,1,0,1,2,57.0,0,1,1,1,1,1,0,1,0,103.7,5656.75,7603.95,0,37,1,1,0,49494.0,1
27,54,622,95358,37.612612,-121.108568,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,20.4,1090.6,2154.4,1,42,1,1,1,33378.0,1
28,26,366,95442,38.368744,-122.522642,3,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,19.6,471.85,1430.8,1,64,0,1,0,24206.0,0
29,69,310,95503,40.737431,-124.108897,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,19.7,1396.9,4045.81,0,47,1,0,0,20193.0,1
30,37,640,94038,37.515556,-122.502311,3,1,0,1,2,51.0,0,0,0,0,1,1,1,1,1,91.2,3247.55,4838.92,1,23,1,0,1,80011.0,0
31,49,554,90058,34.001617,-118.222274,2,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,20.45,900.9,3330.32,0,48,1,1,1,29435.0,0
32,66,554,90063,34.044271,-118.185237,0,1,1,1,2,41.0,1,1,1,1,1,1,1,1,0,-2.0,7942.15,10830.97,1,28,1,0,1,58116.0,0
33,67,130,92231,32.690654,-115.431225,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,20.55,1343.4,2861.91,0,28,0,0,1,48432.0,0
34,20,807,96003,40.677649,-122.29467,0,0,0,1,0,22.0,1,0,1,1,0,0,1,2,1,39.4,825.4,825.4,1,33,1,0,1,52107.37719046251,0
35,43,872,95046,37.084697,-121.606417,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,25.1,1070.15,2387.67,0,31,0,0,0,70893.0,0
36,55,957,95209,38.044523,-121.348048,2,1,1,1,2,9.0,1,0,0,0,1,0,1,0,0,89.8,4959.6,5239.0,0,37,1,0,0,66664.0,1
37,59,554,90003,33.964131,-118.272783,2,1,1,1,2,14.0,1,1,0,0,1,0,1,0,0,94.75,5597.65,6564.66,0,60,1,1,1,47821.0,0
38,12,437,90255,33.97803,-118.217141,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,20.3,224.5,455.86,0,48,1,1,0,23626.0,1
39,27,1097,92398,35.013299,-116.834092,3,1,1,1,2,23.0,0,0,0,0,0,0,1,0,0,75.75,1929.0,2611.02,1,60,1,0,0,69372.0,1
40,2,854,92129,32.961064,-117.134917,0,1,0,1,1,27.0,1,0,0,0,0,0,1,0,0,49.25,91.1,179.08,1,69,0,0,0,87195.0,0
41,27,348,94539,37.516791,-121.899117,3,1,0,1,1,59.0,0,1,1,1,1,1,1,1,1,78.2,2078.95,3399.52,0,20,0,0,1,68142.0,0
42,25,893,95405,38.439696,-122.668817,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,25.5,630.6,1178.43,1,31,1,0,0,82347.0,0
43,25,863,95126,37.327069,-121.916819,0,1,0,1,0,19.0,1,1,1,0,0,0,1,1,0,61.6,1611.0,1727.35,1,46,1,0,0,79908.0,0
44,29,1010,91042,34.296574,-118.244839,0,0,0,1,1,21.0,1,1,1,1,0,0,1,0,1,45.0,1242.45,1230.19,1,57,0,0,1,53977.0,0
45,72,1041,93291,36.391777,-119.372842,0,1,1,1,1,52.0,0,1,1,1,1,1,1,2,0,85.15,6316.2,8646.12,1,19,1,1,1,41850.0,0
46,14,541,95240,38.123544,-121.159078,0,1,0,1,0,12.0,0,1,0,0,0,0,1,1,1,51.45,727.85,1064.41,0,64,0,1,0,75433.0,0
47,35,292,95318,37.654551,-119.822984,3,1,0,1,2,2.0,0,0,1,1,1,1,1,1,0,99.25,3532.0,4806.7,0,38,0,0,0,45576.0,1
48,1,136,94515,38.629618,-122.593216,5,1,0,1,1,9.0,0,0,0,0,0,0,1,0,1,44.3,44.3,87.25,1,54,0,0,1,51650.0,0
49,29,318,95230,37.956963,-120.863055,0,1,0,1,2,17.0,0,0,0,1,1,1,0,0,0,94.2,2607.6,2687.05,1,50,0,0,1,70179.0,0
50,64,1012,96134,41.813521,-121.492666,0,1,1,1,1,69.0,1,1,1,1,1,0,0,1,0,81.25,5567.55,5958.91,1,25,0,1,1,30833.0,0
51,39,206,96107,38.42528,-119.475741,0,1,1,1,2,53.0,0,0,0,1,1,1,1,0,1,99.95,3767.4,4718.22,0,35,1,1,1,86358.0,1
52,40,696,93023,34.581308,-118.931948,0,1,0,1,2,23.0,0,0,0,0,1,1,1,2,0,91.55,3673.6,5439.2,0,72,0,1,0,75774.0,0
53,40,256,92241,33.832799,-116.250973,0,1,1,1,2,15.0,0,1,1,0,1,1,1,0,1,104.5,4036.85,5544.45,1,51,0,0,0,66991.0,1
54,11,676,91605,34.207295,-118.400022,4,1,0,1,2,29.0,0,1,0,0,1,1,0,0,0,95.0,1120.3,1367.79,0,78,0,1,1,46854.0,0
55,6,449,94937,38.099323,-122.945723,5,1,1,1,0,85.0,0,0,0,0,0,0,1,0,0,50.35,314.55,570.51,0,30,1,0,1,43057.0,1
56,30,893,95404,38.526941,-122.709096,0,1,1,1,1,15.0,1,0,0,0,0,1,1,0,2,64.5,1888.45,1967.65,1,58,0,1,1,31353.0,0
57,27,863,95131,37.387027,-121.897775,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.4,529.8,1087.62,1,26,0,0,0,52107.37719046251,0
58,70,1078,90744,33.782068,-118.262263,0,1,1,1,2,28.0,0,1,1,0,1,1,1,1,0,104.8,7308.95,10067.14,1,66,1,0,1,44911.0,0
59,57,622,95357,37.670526,-120.877572,2,1,1,1,2,73.0,0,1,1,1,1,1,1,1,0,109.4,6252.7,6709.27,0,20,1,0,0,12393.0,0
60,58,854,92113,32.697098,-117.116587,0,1,0,1,1,18.0,0,0,1,0,0,0,1,1,1,50.3,2878.55,3933.78,1,61,1,1,0,28769.0,0
61,16,799,90275,33.753146,-118.367459,0,1,1,1,1,48.0,0,1,1,0,0,1,1,0,0,71.4,1212.1,1623.46,1,24,0,0,0,61618.0,0
62,69,469,95452,38.419525,-122.521585,1,1,1,1,2,27.0,1,1,1,1,1,1,1,2,0,116.0,8182.85,10840.73,0,55,1,0,1,63381.0,0
63,1,1062,95255,38.41935,-120.469545,5,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.85,19.85,51.62,1,32,0,1,1,46098.0,0
64,1,554,90062,34.003553,-118.308933,0,1,1,1,2,25.0,0,0,1,0,1,1,1,0,0,99.75,99.75,140.46,1,59,0,1,1,43602.0,1
65,32,638,92256,34.097863,-116.594561,3,1,0,1,2,23.0,0,1,0,0,1,1,1,1,2,93.95,2861.45,3880.97,1,71,1,0,0,64260.0,0
66,16,727,92266,33.3249,-114.758334,4,1,1,1,2,12.0,0,0,1,0,1,0,1,0,0,90.8,1442.2,2221.56,1,49,1,1,1,54603.0,0
67,49,1033,93563,34.39583,-117.734568,2,1,1,1,0,10.0,1,0,1,1,1,1,1,1,0,84.35,4059.35,5997.3,1,61,1,0,1,47352.0,0
68,71,140,93428,35.591387,-121.032256,1,0,0,1,0,29.0,0,1,1,1,1,1,1,2,0,58.25,4145.9,4145.9,0,40,1,0,1,63342.0,0
69,33,837,96084,40.923558,-122.059933,0,1,1,1,2,12.0,0,1,1,0,1,1,1,0,0,107.55,3645.5,5285.27,0,39,0,0,0,22123.0,0
70,10,478,95548,41.572813,-124.035011,4,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.95,187.75,683.75,0,21,1,0,1,65104.0,0
71,21,351,93650,36.841655,-119.797113,0,1,1,1,2,59.0,0,1,1,1,1,1,0,0,0,111.2,2317.1,3198.56,1,24,1,1,1,35860.0,0
72,37,27,94508,38.542448,-122.419923,0,0,0,1,1,23.0,1,1,1,0,0,0,1,0,0,40.2,1448.8,1448.8,1,52,1,1,1,58597.0,0
73,26,520,95333,37.249377,-120.249581,0,1,0,1,2,7.0,1,0,0,0,1,0,1,0,1,85.8,2193.65,3070.89,0,71,0,0,1,67445.0,0
74,50,810,95560,40.142256,-123.852927,2,0,0,1,1,7.0,1,0,0,1,0,0,1,1,1,35.4,1748.9,1748.9,1,45,0,0,0,82333.0,0
75,7,854,92122,32.85723,-117.209774,0,1,1,1,2,26.0,0,0,0,0,0,0,1,0,0,73.85,511.25,698.56,0,29,0,0,1,57107.0,0
76,61,631,91755,34.049172,-118.115022,2,1,1,1,1,28.0,1,1,1,1,1,1,1,2,2,88.1,5526.75,8405.34,0,62,1,0,0,68627.0,0
77,15,84,95305,37.818589,-120.256995,4,1,0,1,2,12.0,0,0,1,1,1,1,1,0,0,101.35,1553.95,2242.75,1,42,0,0,1,47743.0,0
78,26,953,91381,34.364153,-118.615583,0,0,0,1,1,19.0,1,0,0,1,0,1,1,0,1,45.8,1147.0,1147.0,0,51,0,0,1,78416.0,0
79,72,674,95660,38.671295,-121.388251,0,1,0,1,2,23.0,0,0,1,0,1,1,1,0,0,94.65,6747.35,9139.19,1,39,1,1,1,34026.0,0
80,44,493,91746,34.038983,-117.991372,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,20.5,865.05,2070.65,1,64,1,1,1,13260.0,1
81,66,370,95443,39.045246,-122.743181,1,1,1,1,2,8.0,0,1,0,0,0,1,0,0,1,89.4,5976.9,9200.36,1,55,0,0,0,94384.0,0
82,2,12,91803,34.074736,-118.145959,0,1,0,1,2,16.0,1,1,0,1,0,0,1,0,0,86.25,181.65,255.27,0,40,0,0,0,41020.0,1
83,44,891,90403,34.031529,-118.491156,0,1,0,1,1,17.0,0,0,1,1,1,1,1,1,0,74.85,3268.05,3589.82,0,76,0,0,0,78093.0,0
84,12,541,95240,38.123544,-121.159078,4,1,1,1,2,6.0,0,1,0,0,1,0,1,0,0,89.75,1052.4,1224.96,0,57,0,0,1,40689.0,0
85,69,554,90001,33.973616,-118.24902,0,1,1,1,2,17.0,0,1,1,1,1,1,1,2,0,109.95,7634.25,8904.54,1,71,1,1,1,54466.0,0
86,1,314,94533,38.287136,-122.02711,5,1,1,1,2,69.0,0,1,0,0,0,0,1,0,2,80.2,80.2,81.43,0,25,0,1,0,27244.0,0
87,3,957,95204,37.974498,-121.319568,5,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,19.85,63.75,141.0,0,24,0,1,0,39062.0,0
88,2,987,92592,33.507255,-117.029473,0,1,0,1,2,53.0,1,1,0,0,1,0,1,0,0,90.35,190.5,199.8,0,19,1,1,1,29298.0,0
89,27,316,92028,33.362575,-117.299644,0,1,1,1,2,4.0,0,1,1,0,0,0,1,2,0,86.45,2401.05,2481.24,0,77,0,2,1,59062.0,0
90,26,802,93554,35.405722,-117.773354,3,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,20.3,511.25,858.09,1,57,0,1,1,74881.0,0
91,39,44,93422,35.453912,-120.69461,0,1,1,1,2,21.0,0,0,0,1,1,1,1,0,0,101.25,3949.15,4735.0,0,73,1,2,0,15072.0,0
92,25,768,95365,37.329725,-120.306399,0,1,1,1,2,8.0,0,0,0,0,1,1,1,0,0,94.7,2362.1,3234.1,1,41,0,1,1,46779.0,0
93,1,634,93021,34.312945,-118.858169,5,1,0,1,2,23.0,0,0,0,0,0,0,1,0,2,70.9,70.9,110.71,0,43,0,0,1,78353.0,0
94,22,932,93463,34.624399,-120.137875,4,1,0,1,1,21.0,1,0,0,1,0,0,1,0,0,54.2,1152.7,1751.98,1,48,1,0,1,55761.0,0
95,24,491,90638,33.902045,-118.008961,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,19.55,470.2,725.56,0,51,0,0,0,73926.0,0
96,19,102,93516,34.95703,-117.73045,0,1,1,1,2,16.0,0,0,0,0,1,0,1,0,0,86.85,1564.4,1713.36,0,34,1,0,0,43322.0,1
97,71,870,92078,33.119028,-117.166036,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,25.35,1847.55,2500.75,1,21,1,0,0,80573.0,0
98,33,255,92239,33.889605,-115.257009,0,1,1,1,2,20.0,1,0,1,1,1,1,1,1,0,109.9,3694.7,4524.65,1,78,1,1,0,14515.0,1
99,3,234,95313,37.435664,-121.049056,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,19.95,58.0,66.07,0,60,0,0,1,31878.0,0
100,47,1013,95379,37.939768,-120.188002,0,1,1,1,2,13.0,0,1,0,0,1,0,1,0,0,87.2,4017.45,4068.68,1,54,1,1,0,18978.0,0
101,62,854,92120,32.807867,-117.060993,0,1,0,1,2,20.0,1,1,1,1,1,1,1,2,1,108.15,6825.65,6934.77,1,42,1,1,0,49854.0,0
102,71,48,95603,38.912881,-121.082766,0,1,1,1,2,48.0,1,1,1,1,1,1,1,1,0,116.3,8309.55,8514.03,1,22,0,1,1,44392.0,0
103,7,351,93725,36.623632,-119.741322,0,1,0,1,2,11.0,0,0,0,0,1,1,1,2,0,89.0,605.45,899.24,1,71,1,0,0,74068.0,1
104,27,250,93616,36.657462,-119.595293,3,1,0,1,2,28.0,1,0,0,0,0,0,1,0,1,74.4,1972.35,3232.17,0,56,1,1,1,60544.0,0
105,2,811,94065,37.527497,-122.230941,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,20.05,33.7,37.32,1,33,0,0,1,55260.0,0
106,25,514,92285,34.341737,-116.539416,3,0,0,1,0,75.0,1,0,0,1,0,0,1,2,0,35.05,844.45,844.45,0,32,0,0,0,37929.0,0
107,30,409,90250,33.914775,-118.348083,0,1,0,1,1,5.0,1,1,0,0,1,1,1,1,0,74.75,2111.3,3269.6,1,80,0,0,0,80573.0,0
108,58,693,93445,35.059695,-120.604741,0,1,0,1,2,19.0,1,1,0,1,1,1,1,1,1,105.5,6205.5,7188.02,0,73,1,0,0,91249.0,0
109,10,38,93202,36.315979,-119.710852,4,1,1,1,2,82.0,0,0,0,0,0,1,0,0,0,85.25,855.3,975.5,1,26,1,0,2,49681.0,1
110,9,193,95612,38.384648,-121.578701,0,1,1,1,2,28.0,0,0,0,0,0,0,1,0,1,75.2,633.85,717.28,0,59,0,1,1,18701.0,0
111,6,451,92620,33.716136,-117.752574,0,1,1,1,2,17.0,0,0,0,0,0,1,1,0,0,84.35,474.9,647.16,0,78,1,0,0,82504.0,0
112,69,901,95066,37.070177,-122.010077,0,1,1,1,2,16.0,1,0,1,0,0,0,0,1,0,84.45,5848.6,8574.08,0,47,1,0,0,18351.0,1
113,66,842,95368,37.713152,-121.08739,0,1,1,1,2,20.0,1,0,0,0,1,1,1,2,0,102.4,6471.85,7161.55,0,68,0,0,1,65106.0,0
114,70,596,95519,40.965011,-124.015255,1,1,1,1,2,52.0,1,1,1,1,1,1,1,1,1,115.55,8127.6,8842.3,0,30,0,1,0,35523.0,0
115,25,45,94027,37.454924,-122.203168,3,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,25.3,676.35,815.6,1,62,0,0,1,7500.0,0
116,46,436,92649,33.721917,-118.043237,2,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,19.25,864.2,1983.38,0,52,1,0,1,48904.0,1
117,54,134,92320,33.982787,-117.057627,2,1,1,1,2,26.0,1,1,1,1,1,1,1,1,1,114.65,6049.5,6665.1,0,63,1,1,0,23718.0,0
118,15,240,94014,37.691561,-122.445202,0,1,0,1,2,7.0,1,0,1,1,1,1,1,0,0,105.1,1582.75,1918.6,0,54,0,1,0,31590.0,0
119,12,607,95461,38.787446,-122.58675,4,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.4,198.1,297.1,0,48,1,0,0,82025.0,0
120,22,74,94705,37.858898,-122.240512,0,0,0,1,0,22.0,0,1,0,0,1,1,1,0,0,50.35,1098.85,1098.85,0,51,0,0,1,49413.0,0
121,70,560,93249,35.637715,-119.893068,0,0,0,1,0,85.0,0,1,1,1,1,1,1,2,0,57.8,4039.3,4038.29,0,22,1,0,0,38620.0,1
122,30,357,92844,33.766476,-117.969795,3,1,0,1,2,20.0,1,1,1,0,0,0,0,0,1,84.3,2438.6,3310.5,1,52,0,0,0,82733.0,0
123,71,447,92203,33.752938,-116.230055,1,1,1,1,2,59.0,0,1,0,0,1,1,1,1,0,100.55,7113.75,9108.9,1,22,1,0,0,69969.0,0
124,30,714,93033,34.156629,-119.117218,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,1,19.8,576.65,870.95,1,33,1,1,1,37758.0,0
125,4,854,92122,32.85723,-117.209774,5,1,1,1,2,19.0,0,1,1,0,0,0,1,0,0,84.8,371.9,486.98,1,26,1,0,0,62820.0,1
126,2,306,92027,33.141265,-116.967221,5,1,0,1,2,28.0,0,0,1,0,0,1,1,0,0,85.85,167.3,195.58,1,58,0,0,1,65352.0,0
127,10,636,92553,33.923149,-117.244933,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,19.95,219.5,298.1,1,22,0,0,0,71626.0,0
128,4,186,91710,33.990646,-117.663025,5,1,0,1,2,29.0,1,0,0,0,0,0,1,1,0,75.35,273.4,419.0,1,66,0,0,1,57937.0,0
129,52,840,95820,38.53508,-121.444144,2,0,0,1,1,19.0,1,0,0,0,1,1,1,2,1,48.8,2555.05,2555.05,1,69,0,0,1,55707.0,0
130,5,854,92117,32.825086,-117.199424,0,1,1,1,0,85.0,0,0,0,0,0,0,1,0,0,47.15,223.15,333.2,1,25,0,1,0,66503.0,1
131,8,1015,95380,37.474396,-120.875917,5,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,20.15,165.5,188.46,1,30,1,0,1,69401.0,0
132,2,130,92231,32.690654,-115.431225,5,1,0,1,0,22.0,0,0,0,0,0,0,1,1,0,44.3,89.3,137.12,0,73,0,1,1,57136.0,1
133,3,392,95321,37.902968,-119.667544,5,1,0,1,2,26.0,0,1,0,0,0,1,1,0,0,84.3,235.05,276.21,1,46,0,0,1,59821.0,1
134,19,556,95033,37.160194,-121.945611,4,1,1,1,1,18.0,0,0,1,1,0,0,1,0,0,59.55,1144.6,1369.75,1,40,0,1,1,44503.0,0
135,72,201,93611,36.917652,-119.593757,1,1,1,1,1,13.0,1,1,1,1,0,0,1,2,0,69.65,4908.25,5171.77,1,53,0,0,1,62972.0,0
136,63,439,96046,40.648024,-123.465088,2,0,0,1,1,7.0,1,0,0,1,0,0,1,1,0,36.1,2298.9,2298.9,1,76,1,0,0,72190.0,0
137,66,1094,91364,34.153733,-118.593408,0,0,0,1,1,29.0,1,1,1,1,1,0,1,2,0,56.6,3789.2,3789.2,1,38,1,0,1,52569.0,0
138,1,987,92592,33.507255,-117.029473,0,1,0,1,2,27.0,0,0,0,1,0,0,1,0,0,75.9,75.9,120.46,1,23,0,1,1,7500.0,1
139,60,537,95334,37.361987,-120.748394,0,1,1,1,2,48.0,0,0,1,0,0,0,1,1,0,79.2,4765.0,5682.4,0,24,0,0,1,71855.0,0
140,48,1011,93274,36.185471,-119.375243,0,0,0,1,1,22.0,1,0,1,0,0,1,1,1,1,45.0,2196.3,2196.3,0,43,1,1,1,36408.0,1
141,1,118,93427,34.631362,-120.238218,5,1,0,1,2,4.0,0,0,1,0,1,0,1,0,1,85.55,85.55,118.89,0,45,0,1,0,38360.0,0
142,15,724,93552,34.557711,-118.029441,0,1,1,1,2,15.0,0,0,0,0,1,1,1,0,0,93.35,1444.65,2178.6,1,49,0,0,0,70515.0,0
143,50,609,92655,33.744439,-117.98588,2,1,1,1,2,13.0,1,1,0,1,1,1,1,0,0,109.65,5405.8,7134.3,0,62,1,0,1,62670.0,0
144,72,330,95630,38.672638,-121.147403,1,1,1,1,0,30.0,1,1,1,1,1,1,1,2,1,89.7,6339.3,8769.3,1,25,1,1,0,71952.0,0
145,46,690,94619,37.787186,-122.14633,0,1,1,1,2,21.0,1,1,0,0,0,0,0,0,1,84.25,3847.6,5938.02,0,37,0,0,1,54111.0,0
146,72,848,94960,37.99272,-122.575026,0,1,1,1,1,19.0,1,1,1,1,1,1,1,2,0,92.65,6733.0,8893.0,0,35,1,1,0,29732.0,1
147,1,270,91010,34.145695,-117.95982,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,19.7,19.7,53.98,1,37,1,0,0,80134.0,0
148,1,503,92530,33.655421,-117.391751,0,1,1,1,0,51.0,0,0,0,0,0,0,1,0,0,50.1,50.1,79.23,0,19,0,0,0,87195.0,0
149,67,853,92672,33.429488,-117.609432,1,1,0,1,2,21.0,1,1,0,1,1,0,1,2,0,92.45,6140.85,6313.04,0,69,0,0,1,76998.0,0
150,48,554,90004,34.076259,-118.310715,0,1,1,1,1,27.0,0,1,0,1,1,1,1,2,0,79.65,3870.3,4299.42,0,44,1,0,0,26872.0,1
151,72,267,90241,33.940884,-118.128628,0,1,0,1,2,73.0,1,1,1,1,1,1,1,2,0,109.9,7624.2,10641.72,0,19,0,0,0,88420.0,0
152,52,96,94923,38.377165,-123.037957,2,1,1,1,0,24.0,1,1,1,1,0,1,1,1,1,81.4,4354.45,6504.13,1,64,1,1,1,46423.0,0
153,67,181,95925,39.461768,-121.195825,1,1,0,1,0,28.0,0,1,0,0,0,0,1,1,1,50.55,3431.75,6574.05,0,44,1,0,0,90247.0,0
154,28,566,92338,34.702766,-116.093376,3,1,0,1,2,13.0,0,0,0,0,0,1,1,0,0,81.05,2227.1,2698.9,0,58,1,1,1,18701.0,0
155,32,885,95051,37.348129,-121.98469,3,1,1,1,1,51.0,0,1,1,0,0,0,1,0,0,62.45,2045.55,3110.51,0,29,1,0,0,71367.0,0
156,27,745,92571,33.828289,-117.201666,0,1,0,1,0,25.0,1,0,0,0,0,0,1,0,0,75.2,1929.35,2118.89,0,80,1,1,0,37509.0,0
157,3,343,95540,40.584991,-124.121504,0,1,0,1,2,73.0,0,1,1,0,0,1,1,0,0,90.4,268.45,362.89,1,22,0,1,0,27733.0,0
158,2,854,92122,32.85723,-117.209774,5,1,1,1,0,27.0,0,0,0,0,1,0,1,0,0,85.65,181.5,262.36,1,22,0,1,0,52413.0,0
159,9,855,91773,34.102119,-117.815532,0,1,0,1,0,11.0,0,0,1,1,1,1,1,0,1,72.9,651.4,970.81,0,50,0,0,0,35701.0,0
160,50,814,95672,38.724322,-120.991237,2,1,1,1,0,28.0,1,0,0,1,1,0,1,2,1,70.5,3486.65,5711.15,1,53,1,1,0,28440.0,1
161,71,198,96106,39.745805,-120.580882,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,20.1,1389.6,3592.73,0,45,1,1,1,47472.0,0
162,32,854,92122,32.85723,-117.209774,3,1,1,1,2,10.0,0,0,0,0,0,0,1,0,0,74.9,2303.35,3818.23,1,76,1,0,0,34824.0,0
163,16,561,95651,38.815515,-120.916997,4,1,0,1,2,76.0,1,0,1,0,1,1,1,0,0,100.7,1522.7,1959.02,0,57,1,0,0,80124.0,0
