Customer_ID,Tenure,City,Zip Code,Latitude,Longitude,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Gigabits Used,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Charges,Total Revenue,Gender,Age,Married,Kidhome,Teenhome,Income,Churn
0017-DINOC,54,Rancho Santa Fe,92091,32.99356,-117.207121,None,No,,Yes,Cable,10,Yes,No,No,Yes,Yes,No,Yes,Two Year,Credit Card,45.2,2460.55,2460.55,Male,47,No,1,0,37292,No
0017-IUDMW,72,Sunnyvale,94086,37.378541,-122.020456,None,Yes,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,116.8,8456.75,9609.47,Female,25,Yes,2,1,52195,No
0018-NYROU,5,Antelope,95843,38.715498,-121.363411,None,Yes,No,Yes,Fiber Optic,10,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,68.95,351.5,444.75,Female,58,Yes,0,1,69139,No
0019-EFAEP,72,La Mesa,91942,32.782501,-117.01611,Offer A,Yes,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,Bank Withdrawal,101.3,7261.25,7423.25,Female,32,No,1,0,30675,Yes
0019-GFNTW,56,Los Olivos,93441,34.70434,-120.02609,None,No,,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Bank Withdrawal,45.05,2560.1,2560.1,Female,39,No,1,0,13724,No
0020-INWCK,71,Woodlake,93286,36.464635,-119.094348,Offer A,Yes,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Two Year,Credit Card,95.75,6849.4,8784.86,Female,58,Yes,1,1,45759,No
0020-JDNXP,34,Point Reyes Station,94956,38.060264,-122.830646,None,No,,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,61.25,1993.2,1993.2,Female,52,Yes,1,1,31395,No
0021-IKXGC,1,San Marcos,92078,33.119028,-117.166036,Offer E,Yes,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,Yes,One Year,Bank Withdrawal,72.1,72.1,79.87,Female,72,No,0,1,34242,No
0022-TCJCI,45,Daly City,94015,37.680844,-122.48131,None,Yes,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,Yes,One Year,Credit Card,62.7,2791.5,3271.65,Male,79,No,0,2,40451,Yes
0023-HGHWL,1,Morgan Hill,95037,37.161544,-121.649371,None,No,,Yes,Cable,9,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,25.1,25.1,25.1,Male,67,No,1,0,36038,No
0023-UYUPN,50,Ahwahnee,93601,37.375816,-119.739935,None,Yes,Yes,No,,,,,,,,,,One Year,Bank Withdrawal,25.2,1306.3,2877.8,Female,79,Yes,0,1,50616,Yes
0023-XUOPT,13,Carnelian Bay,96140,39.227434,-120.091806,None,Yes,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.1,1215.6,1781.88,Female,26,Yes,1,0,66503,No
0027-KWYKW,23,Alpaugh,93201,35.869626,-119.498771,Offer D,Yes,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,83.75,1849.95,2652.88,Female,30,Yes,0,0,76081,Yes
0030-FNXPP,3,Keeler,93530,36.560498,-117.962461,None,Yes,No,No,,,,,,,,,,Month-to-Month,Credit Card,19.85,57.2,66.56,Female,22,No,1,0,49669,No
0031-PVLZI,4,Korbel,95550,40.7666,-123.80458,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,Credit Card,20.35,76.35,126.07,Female,34,Yes,1,1,16860,No
0032-PGELS,1,Palomar Mountain,92060,33.309852,-116.823091,None,No,,Yes,DSL,19,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,30.5,30.5,30.5,Female,37,Yes,1,1,43462,No
0036-IHMOT,55,Parlier,93648,36.622237,-119.521126,None,Yes,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Bank Withdrawal,103.7,5656.75,7603.95,Female,37,Yes,1,0,49494,Yes
0040-HALCW,54,Modesto,95358,37.612612,-121.108568,None,Yes,No,No,,,,,,,,,,Two Year,Credit Card,20.4,1090.6,2154.4,Male,42,Yes,1,1,33378,Yes
0042-JVWOJ,26,Glen Ellen,95442,38.368744,-122.522642,Offer C,Yes,No,No,,,,,,,,,,One Year,Bank Withdrawal,19.6,471.85,1430.8,Male,64,No,1,0,24206,No
0042-RLHYP,69,Eureka,95503,40.737431,-124.108897,None,Yes,No,No,,,,,,,,,,Two Year,Bank Withdrawal,19.7,1396.9,4045.81,Female,47,Yes,0,0,20193,Yes
0048-LUMLS,37,Moss Beach,94038,37.515556,-122.502311,Offer C,Yes,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,One Year,Credit Card,91.2,3247.55,4838.92,Male,23,Yes,0,1,80011,No
0048-PIHNL,49,Los Angeles,90058,34.001617,-118.222274,Offer B,Yes,No,No,,,,,,,,,,One Year,Bank Withdrawal,20.45,900.9,3330.32,Female,48,Yes,1,1,29435,No
0052-DCKON,66,Los Angeles,90063,34.044271,-118.185237,None,Yes,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,-2,7942.15,10830.97,Male,28,Yes,0,1,58116,No
0052-YNYOT,67,Calexico,92231,32.690654,-115.431225,None,Yes,No,No,,,,,,,,,,One Year,Bank Withdrawal,20.55,1343.4,2861.91,Female,28,No,0,1,48432,No
0056-EPFBG,20,Redding,96003,40.677649,-122.29467,None,No,,Yes,Cable,22,Yes,No,Yes,Yes,No,No,Yes,Two Year,Credit Card,39.4,825.4,825.4,Male,33,Yes,0,1,,No
0057-QBUQH,43,San Martin,95046,37.084697,-121.606417,None,Yes,Yes,No,,,,,,,,,,Two Year,Bank Withdrawal,25.1,1070.15,2387.67,Female,31,No,0,0,70893,No
0058-EVZWM,55,Stockton,95209,38.044523,-121.348048,Offer B,Yes,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.8,4959.6,5239,Female,37,Yes,0,0,66664,Yes
0060-FUALY,59,Los Angeles,90003,33.964131,-118.272783,Offer B,Yes,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.75,5597.65,6564.66,Female,60,Yes,1,1,47821,No
0064-SUDOG,12,Huntington Park,90255,33.97803,-118.217141,None,Yes,No,No,,,,,,,,,,Two Year,Bank Withdrawal,20.3,224.5,455.86,Female,48,Yes,1,0,23626,Yes
0064-YIJGF,27,Yermo,92398,35.013299,-116.834092,Offer C,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.75,1929,2611.02,Male,60,Yes,0,0,69372,Yes
0067-DKWBL,2,San Diego,92129,32.961064,-117.134917,None,Yes,No,Yes,DSL,27,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,49.25,91.1,179.08,Male,69,No,0,0,87195,No
0068-FIGTF,27,Fremont,94539,37.516791,-121.899117,Offer C,Yes,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,78.2,2078.95,3399.52,Female,20,No,0,1,68142,No
0071-NDAFP,25,Santa Rosa,95405,38.439696,-122.668817,None,Yes,Yes,No,,,,,,,,,,Two Year,Credit Card,25.5,630.6,1178.43,Male,31,Yes,0,0,82347,No
0074-HDKDG,25,San Jose,95126,37.327069,-121.916819,None,Yes,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,Yes,One Year,Bank Withdrawal,61.6,1611,1727.35,Male,46,Yes,0,0,79908,No
0076-LVEPS,29,Tujunga,91042,34.296574,-118.244839,None,No,,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Credit Card,45,1242.45,1230.19,Male,57,No,0,1,53977,No
0078-XZMHT,72,Visalia,93291,36.391777,-119.372842,None,Yes,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,85.15,6316.2,8646.12,Male,19,Yes,1,1,41850,No
0080-EMYVY,14,Lodi,95240,38.123544,-121.159078,None,Yes,No,Yes,Cable,12,No,Yes,No,No,No,No,Yes,One Year,Credit Card,51.45,727.85,1064.41,Female,64,No,1,0,75433,No
0080-OROZO,35,El Portal,95318,37.654551,-119.822984,Offer C,Yes,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,99.25,3532,4806.7,Female,38,No,0,0,45576,Yes
0082-LDZUE,1,Calistoga,94515,38.629618,-122.593216,Offer E,Yes,No,Yes,DSL,9,No,No,No,No,No,No,Yes,Month-to-Month,Credit Card,44.3,44.3,87.25,Male,54,No,0,1,51650,No
0082-OQIQY,29,Farmington,95230,37.956963,-120.863055,None,Yes,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,94.2,2607.6,2687.05,Male,50,No,0,1,70179,No
0083-PIVIK,64,Tulelake,96134,41.813521,-121.492666,None,Yes,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,One Year,Bank Withdrawal,81.25,5567.55,5958.91,Male,25,No,1,1,30833,No
0089-IIQKO,39,Coleville,96107,38.42528,-119.475741,None,Yes,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,99.95,3767.4,4718.22,Female,35,Yes,1,1,86358,Yes
0093-EXYQL,40,Ojai,93023,34.581308,-118.931948,None,Yes,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Two Year,Bank Withdrawal,91.55,3673.6,5439.2,Female,72,No,1,0,75774,No
0093-XWZFY,40,Desert Hot Springs,92241,33.832799,-116.250973,None,Yes,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Credit Card,104.5,4036.85,5544.45,Male,51,No,0,0,66991,Yes
0094-OIFMO,11,North Hollywood,91605,34.207295,-118.400022,Offer D,Yes,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Bank Withdrawal,95,1120.3,1367.79,Female,78,No,1,1,46854,No
0096-BXERS,6,Inverness,94937,38.099323,-122.945723,Offer E,Yes,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,50.35,314.55,570.51,Female,30,Yes,0,1,43057,Yes
0096-FCPUF,30,Santa Rosa,95404,38.526941,-122.709096,None,Yes,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Mailed Check,64.5,1888.45,1967.65,Male,58,No,1,1,31353,No
0098-BOWSO,27,San Jose,95131,37.387027,-121.897775,None,Yes,No,No,,,,,,,,,,Month-to-Month,Bank Withdrawal,19.4,529.8,1087.62,Male,26,No,0,0,,No
0100-DUVFC,70,Wilmington,90744,33.782068,-118.262263,None,Yes,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Bank Withdrawal,104.8,7308.95,10067.14,Male,66,Yes,0,1,44911,No
0103-CSITQ,57,Modesto,95357,37.670526,-120.877572,Offer B,Yes,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,109.4,6252.7,6709.27,Female,20,Yes,0,0,12393,No
0104-PPXDV,58,San Diego,92113,32.697098,-117.116587,None,Yes,No,Yes,DSL,18,No,No,Yes,No,No,No,Yes,One Year,Credit Card,50.3,2878.55,3933.78,Male,61,Yes,1,0,28769,No
0106-GHRQR,16,Rancho Palos Verdes,90275,33.753146,-118.367459,None,Yes,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,71.4,1212.1,1623.46,Male,24,No,0,0,61618,No
0106-UGRDO,69,Kenwood,95452,38.419525,-122.521585,Offer A,Yes,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,116,8182.85,10840.73,Female,55,Yes,0,1,63381,No
0107-WESLM,1,West Point,95255,38.41935,-120.469545,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,Bank Withdrawal,19.85,19.85,51.62,Male,32,No,1,1,46098,No
0107-YHINA,1,Los Angeles,90062,34.003553,-118.308933,None,Yes,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,99.75,99.75,140.46,Male,59,No,1,1,43602,Yes
0111-KLBQG,32,Morongo Valley,92256,34.097863,-116.594561,Offer C,Yes,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,One Year,Mailed Check,93.95,2861.45,3880.97,Male,71,Yes,0,0,64260,No
0112-QAWRZ,16,Palo Verde,92266,33.3249,-114.758334,Offer D,Yes,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,90.8,1442.2,2221.56,Male,49,Yes,1,1,54603,No
0112-QWPNC,49,Valyermo,93563,34.39583,-117.734568,Offer B,Yes,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,84.35,4059.35,5997.3,Male,61,Yes,0,1,47352,No
0114-IGABW,71,Cambria,93428,35.591387,-121.032256,Offer A,No,,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,58.25,4145.9,4145.9,Female,40,Yes,0,1,63342,No
0114-PEGZZ,33,Round Mountain,96084,40.923558,-122.059933,None,Yes,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,107.55,3645.5,5285.27,Female,39,No,0,0,22123,No
0114-RSRRW,10,Klamath,95548,41.572813,-124.035011,Offer D,Yes,No,No,,,,,,,,,,Month-to-Month,Bank Withdrawal,19.95,187.75,683.75,Female,21,Yes,0,1,65104,No
0115-TFERT,21,Fresno,93650,36.841655,-119.797113,None,Yes,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,111.2,2317.1,3198.56,Male,24,Yes,1,1,35860,No
0117-LFRMW,37,Angwin,94508,38.542448,-122.419923,None,No,,Yes,DSL,23,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,40.2,1448.8,1448.8,Male,52,Yes,1,1,58597,No
0118-JPNOY,26,Le Grand,95333,37.249377,-120.249581,None,Yes,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Credit Card,85.8,2193.65,3070.89,Female,71,No,0,1,67445,No
0121-SNYRK,50,Redway,95560,40.142256,-123.852927,Offer B,No,,Yes,DSL,7,Yes,No,No,Yes,No,No,Yes,One Year,Credit Card,35.4,1748.9,1748.9,Male,45,No,0,0,82333,No
0122-OAHPZ,7,San Diego,92122,32.85723,-117.209774,None,Yes,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.85,511.25,698.56,Female,29,No,0,1,57107,No
0123-CRBRT,61,Monterey Park,91755,34.049172,-118.115022,Offer B,Yes,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Mailed Check,88.1,5526.75,8405.34,Female,62,Yes,0,0,68627,No
0125-LZQXK,15,Big Oak Flat,95305,37.818589,-120.256995,Offer D,Yes,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.35,1553.95,2242.75,Male,42,No,0,1,47743,No
0128-MKWSG,26,Stevenson Ranch,91381,34.364153,-118.615583,None,No,,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Credit Card,45.8,1147,1147,Female,51,No,0,1,78416,No
0129-KPTWJ,72,North Highlands,95660,38.671295,-121.388251,None,Yes,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.65,6747.35,9139.19,Male,39,Yes,1,1,34026,No
0129-QMPDR,44,La Puente,91746,34.038983,-117.991372,None,Yes,No,No,,,,,,,,,,One Year,Bank Withdrawal,20.5,865.05,2070.65,Male,64,Yes,1,1,13260,Yes
0130-SXOUN,66,Glenhaven,95443,39.045246,-122.743181,Offer A,Yes,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,No,Month-to-Month,Credit Card,89.4,5976.9,9200.36,Male,55,No,0,0,94384,No
0133-BMFZO,2,Alhambra,91803,34.074736,-118.145959,None,Yes,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,86.25,181.65,255.27,Female,40,No,0,0,41020,Yes
0134-XWXCE,44,Santa Monica,90403,34.031529,-118.491156,None,Yes,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,74.85,3268.05,3589.82,Female,76,No,0,0,78093,No
0135-NMXAP,12,Lodi,95240,38.123544,-121.159078,Offer D,Yes,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.75,1052.4,1224.96,Female,57,No,0,1,40689,No
0136-IFMYD,69,Los Angeles,90001,33.973616,-118.24902,None,Yes,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.95,7634.25,8904.54,Male,71,Yes,1,1,54466,No
0137-OCGAB,1,Fairfield,94533,38.287136,-122.02711,Offer E,Yes,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,Yes,Month-to-Month,Mailed Check,80.2,80.2,81.43,Female,25,No,1,0,27244,No
0137-UDEUO,3,Stockton,95204,37.974498,-121.319568,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,Credit Card,19.85,63.75,141,Female,24,No,1,0,39062,No
0139-IVFJG,2,Temecula,92592,33.507255,-117.029473,None,Yes,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,90.35,190.5,199.8,Female,19,Yes,1,1,29298,No
0141-YEAYS,27,Fallbrook,92028,33.362575,-117.299644,None,Yes,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,Yes,Two Year,Bank Withdrawal,86.45,2401.05,2481.24,Female,77,No,2,1,59062,No
0142-GVYSN,26,Randsburg,93554,35.405722,-117.773354,Offer C,Yes,No,No,,,,,,,,,,Month-to-Month,Bank Withdrawal,20.3,511.25,858.09,Male,57,No,1,1,74881,No
0147-ESWWR,39,Atascadero,93422,35.453912,-120.69461,None,Yes,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.25,3949.15,4735,Female,73,Yes,2,0,15072,No
0148-DCDOS,25,Planada,95365,37.329725,-120.306399,None,Yes,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.7,2362.1,3234.1,Male,41,No,1,1,46779,No
0151-ONTOV,1,Moorpark,93021,34.312945,-118.858169,Offer E,Yes,No,Yes,Fiber Optic,23,No,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,70.9,70.9,110.71,Female,43,No,0,1,78353,No
0156-FVPTA,22,Solvang,93463,34.624399,-120.137875,Offer D,Yes,No,Yes,DSL,21,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,54.2,1152.7,1751.98,Male,48,Yes,0,1,55761,No
0164-APGRB,72,Calistoga,94515,38.629618,-122.593216,Offer A,Yes,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,114.9,8496.7,11979.34,Female,56,No,0,0,91249,Yes
0164-XAIRP,24,La Mirada,90638,33.902045,-118.008961,None,Yes,No,No,,,,,,,,,,Two Year,Bank Withdrawal,19.55,470.2,725.56,Female,51,No,0,0,73926,No
0168-XZKBB,19,Boron,93516,34.95703,-117.73045,None,Yes,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,86.85,1564.4,1713.36,Female,34,Yes,0,0,43322,Yes
0174-QRVVY,71,San Marcos,92078,33.119028,-117.166036,None,Yes,Yes,No,,,,,,,,,,Two Year,Credit Card,25.35,1847.55,2500.75,Male,21,Yes,0,0,80573,No
0177-PXBAT,33,Desert Center,92239,33.889605,-115.257009,None,Yes,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,109.9,3694.7,4524.65,Male,78,Yes,1,0,14515,Yes
0178-CIIKR,3,Crows Landing,95313,37.435664,-121.049056,None,Yes,No,No,,,,,,,,,,Month-to-Month,Credit Card,19.95,58,66.07,Female,60,No,0,1,31878,No
0178-SZBHO,47,Tuolumne,95379,37.939768,-120.188002,None,Yes,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,87.2,4017.45,4068.68,Male,54,Yes,1,0,18978,No
0181-RITDD,62,San Diego,92120,32.807867,-117.060993,None,Yes,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,108.15,6825.65,6934.77,Male,42,Yes,1,0,49854,No
0186-CAERR,71,Auburn,95603,38.912881,-121.082766,None,Yes,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,116.3,8309.55,8514.03,Male,22,No,1,1,44392,No
0187-QSXOE,7,Fresno,93725,36.623632,-119.741322,None,Yes,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Two Year,Bank Withdrawal,89,605.45,899.24,Male,71,Yes,0,0,74068,Yes
0187-WZNAB,27,Del Rey,93616,36.657462,-119.595293,Offer C,Yes,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,Yes,Month-to-Month,Credit Card,74.4,1972.35,3232.17,Female,56,Yes,1,1,60544,No
0188-GWFLE,2,Redwood City,94065,37.527497,-122.230941,None,Yes,No,No,,,,,,,,,,Month-to-Month,Credit Card,20.05,33.7,37.32,Male,33,No,0,1,55260,No
0191-EQUUH,25,Landers,92285,34.341737,-116.539416,Offer C,No,,Yes,Cable,75,Yes,No,No,Yes,No,No,Yes,Two Year,Bank Withdrawal,35.05,844.45,844.45,Female,32,No,0,0,37929,No
0191-ZHSKZ,30,Hawthorne,90250,33.914775,-118.348083,None,Yes,No,Yes,DSL,5,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Bank Withdrawal,74.75,2111.3,3269.6,Male,80,No,0,0,80573,No
0193-ESZXP,58,Oceano,93445,35.059695,-120.604741,None,Yes,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Credit Card,105.5,6205.5,7188.02,Female,73,Yes,0,0,91249,No
0195-IESCP,10,Armona,93202,36.315979,-119.710852,Offer D,Yes,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,85.25,855.3,975.5,Male,26,Yes,0,2,49681,Yes
0196-JTUQI,9,Clarksburg,95612,38.384648,-121.578701,None,Yes,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,Yes,Month-to-Month,Credit Card,75.2,633.85,717.28,Female,59,No,1,1,18701,No
0196-VULGZ,6,Irvine,92620,33.716136,-117.752574,None,Yes,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,84.35,474.9,647.16,Female,78,Yes,0,0,82504,No
0197-PNKNK,69,Scotts Valley,95066,37.070177,-122.010077,None,Yes,Yes,Yes,Fiber Optic,16,Yes,No,Yes,No,No,No,No,One Year,Bank Withdrawal,84.45,5848.6,8574.08,Female,47,Yes,0,0,18351,Yes
0201-MIBOL,66,Salida,95368,37.713152,-121.08739,None,Yes,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,Yes,Two Year,Bank Withdrawal,102.4,6471.85,7161.55,Female,68,No,0,1,65106,No
0201-OAMXR,70,Mckinleyville,95519,40.965011,-124.015255,Offer A,Yes,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,115.55,8127.6,8842.3,Female,30,No,1,0,35523,No
0203-HHYIJ,25,Atherton,94027,37.454924,-122.203168,Offer C,Yes,Yes,No,,,,,,,,,,One Year,Bank Withdrawal,25.3,676.35,815.6,Male,62,No,0,1,7500,No
