Channel Budget Digital,Channel Budget TV,Channel Budget Radio,Channel Budget Newspaper,sales,Spend Frequency,Start Date,End Date,Duration,ROI,Engagement Metrics,Target Audience Size,Demographics,Zip Code,Seasonality
150.6,100.4,9.6,3.6,10.7,Weekly,2023-09-30,2023-11-22,53,0.912991191,907,59353,25-34,96107,None
324.6,216.4,41.7,39.6,22.6,Weekly,2023-07-09,2023-09-10,63,1.302280118,317,12967,25-34,93023,None
273.9,182.6,46.2,58.7,21.2,Monthly,2023-09-01,2023-10-02,31,0.6071946874,767,31359,55+,92241,None
394.05,262.7,28.8,15.9,20.2,Daily,2023-11-13,2024-02-08,87,0.6300745597,517,72561,25-34,91605,Holiday
298.35,198.9,49.4,60,23.7,Monthly,2023-02-17,2023-04-09,51,1.160344475,225,10044,18-24,94937,Summer
10.95,7.3,28.1,41.4,5.5,Daily,2023-05-27,2023-07-25,59,0.6310949768,948,12664,55+,95404,Winter
204.3,136.2,19.2,16.6,13.2,Daily,2023-02-27,2023-05-24,86,1.297886376,433,43592,55+,95131,Winter
316.2,210.8,49.6,37.7,23.8,Monthly,2023-08-03,2023-09-07,35,2.224888189,175,90852,18-24,90744,Holiday
316.05,210.7,29.5,9.3,18.4,Weekly,2023-06-16,2023-08-27,72,1.307763869,845,84306,35-44,95357,Holiday
80.25,53.5,2,21.4,8.1,Weekly,2023-06-18,2023-09-07,81,1.57872004,149,89393,45-54,92113,None
391.95,261.3,42.7,54.7,24.2,Weekly,2023-08-22,2023-10-05,44,1.861094423,139,49887,25-34,90275,None
358.95,239.3,15.5,27.3,15.7,Monthly,2023-05-16,2023-07-03,48,2.470272554,695,94120,55+,95452,Holiday
154.05,102.7,29.6,8.4,14,Monthly,2023-07-26,2023-08-28,33,0.7579082201,316,94684,25-34,95255,Winter
196.65,131.1,42.8,28.9,18,Daily,2023-11-03,2023-12-24,51,2.513906297,894,60727,18-24,90062,Summer
103.5,69,9.3,0.9,9.3,Daily,2023-01-20,2023-02-20,31,1.568447199,162,79514,55+,92256,Summer
47.25,31.5,24.6,2.2,9.5,Monthly,2023-06-22,2023-08-31,70,1.0480809,54,16988,55+,92266,Holiday
208.95,139.3,14.5,10.2,13.4,Daily,2023-11-11,2024-01-20,70,2.092549199,632,76575,18-24,93563,Summer
356.1,237.4,27.5,11,18.9,Monthly,2023-11-11,2024-01-19,69,2.309455956,39,31673,25-34,93428,None
325.2,216.8,43.9,27.2,22.3,Daily,2023-11-29,2024-01-07,39,2.93119449,479,86801,18-24,96084,None
298.65,199.1,30.6,38.7,18.3,Monthly,2023-11-12,2024-01-03,52,1.701418438,561,60137,18-24,95548,None
164.7,109.8,14.3,31.7,12.4,Weekly,2023-03-16,2023-05-10,55,1.015392501,101,90028,18-24,93650,Summer
40.2,26.8,33,19.3,8.8,Daily,2023-07-21,2023-09-04,45,2.969662154,902,20406,35-44,94508,Holiday
194.1,129.4,5.7,31.3,11,Monthly,2023-06-04,2023-07-22,48,2.338183342,883,64282,45-54,95333,Summer
320.1,213.4,24.6,13.1,17,Daily,2023-05-02,2023-06-23,52,0.9144303035,443,42785,18-24,95560,Winter
25.35,16.9,43.7,89.4,8.7,Daily,2023-09-23,2023-12-04,72,1.879341545,448,54621,18-24,92122,Summer
41.25,27.5,1.6,20.7,6.9,Daily,2023-03-20,2023-05-06,47,0.8622480545,631,29750,55+,91755,Holiday
180.75,120.5,28.5,14.2,14.2,Monthly,2023-01-21,2023-03-06,44,1.429443062,642,40636,18-24,95305,Summer
8.1,5.4,29.9,9.4,5.3,Monthly,2023-01-25,2023-04-07,72,0.5613211172,899,68793,45-54,91381,None
174,116,7.7,23.1,11,Daily,2023-10-03,2023-11-26,54,2.005281155,349,76999,55+,95660,Summer
114.6,76.4,26.7,22.3,11.8,Weekly,2023-03-20,2023-04-28,39,2.137399293,260,86072,35-44,91746,Holiday
359.7,239.8,4.1,36.9,12.3,Monthly,2023-03-05,2023-04-20,46,1.340013845,720,76783,45-54,95443,None
112.95,75.3,20.3,32.5,11.3,Monthly,2023-03-28,2023-06-01,65,2.137445642,358,25846,55+,91803,None
102.6,68.4,44.5,35.6,13.6,Daily,2023-08-12,2023-11-02,82,2.275031914,543,16992,55+,90403,Winter
320.25,213.5,43,33.8,21.7,Weekly,2023-12-23,2024-02-26,65,1.522778695,205,27468,25-34,95240,Summer
289.8,193.2,18.4,65.7,15.2,Daily,2023-08-09,2023-09-28,50,1.761833486,335,39638,18-24,90001,None
114.45,76.3,27.5,16,12,Daily,2023-02-06,2023-03-13,35,1.343976735,43,20372,45-54,94533,Holiday
166.05,110.7,40.6,63.2,16,Monthly,2023-06-09,2023-08-23,75,2.702455596,950,52713,18-24,95204,Winter
132.45,88.3,25.5,73.4,12.9,Weekly,2023-01-25,2023-04-02,67,1.452599561,35,25531,45-54,92592,Summer
164.7,109.8,47.8,51.4,16.7,Monthly,2023-08-21,2023-11-14,85,2.96227708,946,15546,18-24,92028,Summer
201.45,134.3,4.9,9.3,11.2,Weekly,2023-12-02,2024-02-22,82,2.974146013,54,92649,45-54,93554,Holiday
42.9,28.6,1.5,33,7.3,Daily,2023-10-18,2023-12-28,71,2.577536297,441,17836,55+,93422,Winter
326.55,217.7,33.5,59,19.4,Daily,2023-10-15,2023-12-15,61,1.33254716,101,70075,45-54,95365,Holiday
376.35,250.9,36.5,72.3,22.2,Monthly,2023-03-24,2023-06-14,82,2.449125963,554,19485,45-54,93021,Winter
161.1,107.4,14,10.9,11.5,Monthly,2023-07-23,2023-10-19,88,1.80970324,180,41829,18-24,93463,None
244.95,163.3,31.6,52.9,16.9,Weekly,2023-10-28,2023-12-30,63,2.293724896,507,70132,35-44,94515,None
296.4,197.6,3.5,5.9,11.7,Weekly,2023-10-19,2023-12-15,57,2.333602473,324,61818,18-24,90638,None
277.35,184.9,21,22,15.5,Weekly,2023-02-09,2023-03-28,47,1.732722032,216,76825,18-24,93516,None
434.55,289.7,42.3,51.2,25.4,Daily,2023-12-25,2024-03-11,77,1.462987155,34,41100,55+,92078,Summer
202.8,135.2,41.7,45.9,17.2,Daily,2023-12-02,2024-01-17,46,0.9738233725,597,12978,18-24,92239,Holiday
333.6,222.4,4.3,49.8,11.7,Weekly,2023-03-02,2023-05-06,65,2.352710188,0,26479,55+,95313,None
444.6,296.4,36.3,100.9,23.8,Daily,2023-10-28,2023-11-29,32,2.972666332,149,42986,25-34,95379,Winter
420.3,280.2,10.1,21.4,14.8,Daily,2023-02-10,2023-04-23,72,1.050609846,630,56425,18-24,92120,None
281.85,187.9,17.2,17.9,14.7,Weekly,2023-11-28,2024-01-06,39,1.419788808,773,10433,55+,95603,Summer
357.3,238.2,34.3,5.3,20.7,Daily,2023-02-03,2023-03-27,52,1.943011336,296,53434,18-24,93725,Holiday
206.85,137.9,46.4,59,19.2,Weekly,2023-10-05,2023-12-09,65,1.604001562,932,99412,35-44,93616,Summer
37.5,25,11,29.7,7.2,Daily,2023-03-28,2023-05-19,52,1.756016093,917,66584,55+,94065,Holiday
135.6,90.4,0.3,23.2,8.7,Weekly,2023-10-25,2024-01-07,74,0.6900101482,979,39872,25-34,92285,Holiday
19.65,13.1,0.4,25.6,5.3,Weekly,2023-08-28,2023-11-18,82,1.104314061,747,20483,18-24,90250,Summer
383.1,255.4,26.9,5.5,19.8,Monthly,2023-10-06,2023-12-10,65,1.674043674,690,43044,25-34,93445,Summer
338.7,225.8,8.2,56.5,13.4,Monthly,2023-06-07,2023-07-26,49,2.655071871,781,42698,55+,93202,None
362.55,241.7,38,23.2,21.8,Daily,2023-02-28,2023-05-08,69,0.7563003443,267,53856,45-54,95612,None
263.55,175.7,15.4,2.4,14.1,Monthly,2023-10-24,2023-12-07,44,1.027495831,455,96078,35-44,92620,Summer
314.4,209.6,20.6,10.7,15.9,Monthly,2023-05-23,2023-06-28,36,1.196938345,654,20861,55+,95066,Winter
117.3,78.2,46.8,34.5,14.6,Monthly,2023-12-19,2024-02-21,64,1.81152774,327,27250,18-24,95368,None
112.65,75.1,35,52.7,12.6,Monthly,2023-02-21,2023-04-09,47,0.8056836495,227,18863,35-44,95519,Summer
208.8,139.2,14.3,25.6,12.2,Weekly,2023-06-17,2023-08-28,72,2.827000655,365,70804,45-54,94027,Holiday
114.6,76.4,0.8,14.8,9.4,Weekly,2023-01-04,2023-03-04,59,2.714735576,236,71601,35-44,92649,None
188.55,125.7,36.9,79.2,15.9,Weekly,2023-03-30,2023-05-29,60,1.528352737,900,10343,45-54,92320,Holiday
29.1,19.4,16,22.3,6.6,Weekly,2023-12-25,2024-01-24,30,1.790456007,109,12842,45-54,94014,Summer
211.95,141.3,26.8,46.2,15.5,Monthly,2023-08-06,2023-10-17,72,1.810206872,13,63359,18-24,95461,None
28.2,18.8,21.7,50.4,7,Weekly,2023-06-23,2023-09-20,89,2.449348052,7,31956,35-44,94705,Winter
336,224,2.4,15.6,11.6,Weekly,2023-07-05,2023-09-28,85,2.387010271,334,96698,45-54,93249,Holiday
184.65,123.1,34.6,12.4,15.2,Weekly,2023-02-19,2023-04-06,46,1.552937971,248,87820,35-44,92844,Holiday
344.25,229.5,32.3,74.2,19.7,Weekly,2023-08-29,2023-11-10,73,0.9352938358,741,83921,35-44,92203,Summer
130.8,87.2,11.8,25.9,10.6,Daily,2023-01-01,2023-03-06,64,2.231970049,8,71926,55+,93033,Holiday
11.7,7.8,38.9,50.6,6.6,Monthly,2023-10-03,2023-11-06,34,2.339651464,103,48394,45-54,92122,None
120.3,80.2,0,9.2,8.8,Monthly,2023-08-15,2023-10-27,73,0.5026979161,301,62066,35-44,92027,None
330.45,220.3,49,3.2,24.7,Weekly,2023-05-18,2023-07-20,63,1.694865838,9,62142,55+,92553,None
89.4,59.6,12,43.1,9.7,Daily,2023-09-23,2023-12-17,85,1.052604177,308,99456,35-44,91710,None
1.05,0.7,39.6,8.7,1.6,Daily,2023-06-20,2023-07-20,30,1.407245055,882,34406,25-34,95820,None
397.8,265.2,2.9,43,12.7,Monthly,2023-08-18,2023-10-25,68,2.97145593,562,73738,45-54,92117,None
12.6,8.4,27.2,2.1,5.7,Daily,2023-01-29,2023-03-22,52,2.213372649,270,76906,18-24,95380,Winter
329.7,219.8,33.5,45.1,19.6,Daily,2023-06-01,2023-08-15,75,2.408279226,414,19257,18-24,92231,Summer
55.35,36.9,38.6,65.6,10.8,Monthly,2023-05-07,2023-07-07,61,0.7954369326,281,15214,25-34,95321,None
72.45,48.3,47,8.5,11.6,Daily,2023-08-15,2023-10-19,65,1.733435672,166,93201,55+,95033,Summer
38.4,25.6,39,9.3,9.5,Monthly,2023-05-08,2023-06-30,53,2.120895356,404,30386,55+,93611,Winter
410.55,273.7,28.9,59.7,20.8,Monthly,2023-07-21,2023-10-08,79,2.384345514,955,97979,35-44,96046,None
64.5,43,25.9,20.5,9.6,Monthly,2023-05-22,2023-06-23,32,2.313608045,217,23866,35-44,91364,Winter
277.35,184.9,43.9,1.7,20.7,Daily,2023-09-13,2023-11-26,74,2.176922113,215,33368,45-54,92592,Winter
110.1,73.4,17,12.9,10.9,Monthly,2023-07-26,2023-10-20,86,1.27819362,151,74283,35-44,95334,Winter
290.55,193.7,35.4,75.6,19.2,Daily,2023-05-19,2023-08-10,83,0.9396616787,762,14475,18-24,93274,None
330.75,220.5,33.2,37.9,20.1,Daily,2023-12-06,2024-02-16,72,2.166628608,943,50711,25-34,93427,None
156.9,104.6,5.7,34.4,10.4,Weekly,2023-02-19,2023-04-01,41,0.7923025315,816,40345,18-24,93552,Summer
144.3,96.2,14.8,38.9,11.4,Monthly,2023-02-21,2023-05-14,82,0.7133960424,126,38728,35-44,92655,Summer
210.45,140.3,1.9,9,10.3,Daily,2023-01-10,2023-03-05,54,0.9370789618,362,96754,35-44,95630,Summer
360.15,240.1,7.3,8.7,13.2,Daily,2023-08-15,2023-09-16,32,2.310740683,512,55095,35-44,94619,Holiday
364.8,243.2,49,44.3,25.4,Daily,2023-05-18,2023-08-07,81,2.47016622,310,42503,45-54,94960,Holiday
57,38,40.3,11.9,10.9,Daily,2023-10-30,2024-01-16,78,1.102853606,606,43648,25-34,91010,None
67.05,44.7,25.8,20.6,10.1,Weekly,2023-05-25,2023-07-23,59,1.796987795,723,79794,25-34,92530,Holiday
421.05,280.7,13.9,37,16.1,Weekly,2023-03-30,2023-05-30,61,1.040372867,208,49817,45-54,92672,Summer
181.5,121,8.4,48.7,11.6,Weekly,2023-02-11,2023-03-20,37,2.177015484,812,74565,45-54,90004,Summer
296.4,197.6,23.3,14.2,16.6,Monthly,2023-03-24,2023-04-30,37,0.7732353819,595,52138,18-24,90241,None
256.95,171.3,39.7,37.7,19,Daily,2023-07-14,2023-09-28,76,2.819469389,985,43256,55+,94923,Winter
281.7,187.8,21.1,9.5,15.6,Daily,2023-07-30,2023-10-16,78,1.901070048,627,77158,18-24,95925,Holiday
6.15,4.1,11.6,5.7,3.2,Monthly,2023-05-23,2023-08-17,86,1.181233245,424,30215,35-44,92338,Summer
140.85,93.9,43.5,50.5,15.3,Weekly,2023-10-29,2023-12-31,63,1.426560975,421,47908,45-54,95051,None
224.7,149.8,1.3,24.3,10.1,Daily,2023-12-30,2024-02-29,61,1.128575498,748,89660,25-34,92571,Summer
17.55,11.7,36.9,45.2,7.3,Monthly,2023-07-26,2023-10-17,83,1.745312603,974,97673,18-24,95540,Winter
197.55,131.7,18.4,34.6,12.9,Monthly,2023-05-16,2023-07-07,52,0.9065004986,160,27825,25-34,92122,Winter
258.75,172.5,18.1,30.7,14.4,Daily,2023-06-26,2023-08-13,48,2.290072479,305,13443,25-34,91773,Holiday
128.55,85.7,35.8,49.3,13.3,Daily,2023-03-04,2023-04-20,47,0.7859055659,415,99559,45-54,95672,Winter
282.6,188.4,18.1,25.6,14.9,Weekly,2023-04-13,2023-06-25,73,0.5930227144,106,94375,35-44,96106,Winter
245.25,163.5,36.8,7.4,18,Daily,2023-06-03,2023-08-24,82,2.641892052,975,13754,45-54,92122,Winter
175.8,117.2,14.7,5.4,11.9,Daily,2023-01-19,2023-04-14,85,1.640613201,406,82910,35-44,95651,Holiday
351.75,234.5,3.4,84.8,11.9,Monthly,2023-12-28,2024-02-14,48,2.549238992,638,50406,55+,92078,Winter
26.85,17.9,37.6,21.6,8,Daily,2023-12-13,2024-01-29,47,2.483715808,661,81546,18-24,93436,Holiday
310.2,206.8,5.2,19.4,12.2,Weekly,2023-04-23,2023-07-01,69,2.432846523,818,41716,25-34,95664,Winter
323.1,215.4,23.6,57.6,17.1,Monthly,2023-05-26,2023-07-21,56,1.201591199,142,71245,35-44,94133,None
426.45,284.3,10.6,6.4,15,Monthly,2023-10-21,2024-01-10,81,2.222390128,377,79505,35-44,91345,Winter
75,50,11.6,18.4,8.4,Monthly,2023-03-26,2023-05-08,43,1.826881676,685,23389,18-24,90040,Summer
246.75,164.5,20.9,47.4,14.5,Weekly,2023-10-27,2023-12-22,56,1.538975565,129,90950,55+,90710,Summer
29.4,19.6,20.1,17,7.6,Daily,2023-01-13,2023-03-24,70,2.889790765,99,25751,35-44,94108,None
252.6,168.4,7.1,12.8,11.7,Weekly,2023-04-28,2023-06-21,54,2.114391095,732,88285,55+,90301,None
333.6,222.4,3.4,13.1,11.5,Monthly,2023-08-12,2023-09-29,48,2.13193086,402,37127,55+,90015,Summer
415.35,276.9,48.9,41.8,27,Weekly,2023-11-26,2024-02-08,74,2.852494024,854,57749,55+,94060,Summer
372.6,248.4,30.2,20.3,20.2,Monthly,2023-03-07,2023-05-27,81,1.546178339,429,96780,45-54,95004,Summer
255.3,170.2,7.8,35.2,11.7,Weekly,2023-02-21,2023-05-11,79,2.45093428,334,52650,55+,93603,Holiday
415.05,276.7,2.3,23.7,11.8,Daily,2023-07-13,2023-09-25,74,0.7422008391,888,17742,35-44,93648,Summer
248.4,165.6,10,17.6,12.6,Weekly,2023-10-17,2023-11-27,41,2.136385813,392,12640,25-34,92328,Summer
234.9,156.6,2.6,8.3,10.5,Monthly,2023-07-02,2023-09-20,80,0.8527855065,887,57091,45-54,91744,Winter
327.75,218.5,5.4,27.4,12.2,Daily,2023-01-20,2023-03-01,40,2.690535332,556,61350,18-24,93656,None
84.3,56.2,5.7,29.7,8.7,Monthly,2023-06-01,2023-08-17,77,2.919782591,520,88152,55+,94104,Summer
431.4,287.6,43,71.8,26.2,Weekly,2023-07-13,2023-09-15,64,1.413852473,108,95537,45-54,95916,Summer
380.7,253.8,21.3,30,17.6,Daily,2023-04-04,2023-06-06,63,2.551758227,840,79347,45-54,95439,Holiday
307.5,205,45.1,19.6,22.6,Daily,2023-05-19,2023-06-23,35,0.8976184118,568,33440,55+,95010,None
209.25,139.5,2.1,26.6,10.3,Daily,2023-10-06,2023-11-30,55,1.020037287,884,91149,45-54,92109,Holiday
286.65,191.1,28.7,18.2,17.3,Weekly,2023-07-02,2023-08-11,40,2.686482808,752,54795,55+,91711,Winter
429,286,13.9,3.7,15.9,Monthly,2023-11-01,2024-01-18,78,0.7609399082,399,14575,55+,91207,Winter
28.05,18.7,12.1,23.4,6.7,Daily,2023-12-26,2024-02-12,48,1.146023069,502,81814,55+,90248,Summer
59.25,39.5,41.1,5.8,10.8,Daily,2023-06-19,2023-08-06,48,1.522354365,669,59391,55+,92028,None
113.25,75.5,10.8,6,9.9,Monthly,2023-03-12,2023-04-11,30,1.540282801,855,24457,35-44,94134,Winter
25.8,17.2,4.1,31.6,5.9,Monthly,2023-11-15,2024-02-07,84,0.5910157625,493,40538,45-54,92126,None
250.2,166.8,42,3.6,19.6,Monthly,2023-08-22,2023-10-07,46,2.383977864,821,60795,55+,92703,Winter
224.55,149.7,35.6,6,17.3,Weekly,2023-07-30,2023-10-25,87,2.776020317,587,82911,25-34,95369,Winter
57.3,38.2,3.7,13.8,7.6,Daily,2023-04-27,2023-05-28,31,2.70354272,646,28539,45-54,93522,None
141.3,94.2,4.9,8.1,9.7,Monthly,2023-07-30,2023-09-01,33,1.44310521,551,11608,35-44,92404,Winter
265.5,177,9.3,6.4,12.8,Monthly,2023-09-21,2023-12-04,74,2.048205313,428,86873,35-44,95542,None
425.4,283.6,42,66.2,25.5,Weekly,2023-06-05,2023-08-29,85,2.240554322,29,18380,25-34,90807,Winter
348.15,232.1,8.6,8.7,13.4,Daily,2023-03-18,2023-06-04,78,0.7553228658,212,54562,55+,91784,None
345.15,230.1,37.8,69.2,22.1,Daily,2023-02-07,2023-03-10,31,1.098899297,576,93690,25-34,95762,Holiday
66.75,44.5,39.3,45.1,10.4,Daily,2023-04-04,2023-05-05,31,2.776953625,275,51257,18-24,95403,Winter
25.8,17.2,45.9,69.3,9.3,Monthly,2023-10-01,2023-11-23,53,1.58261978,147,76724,55+,90265,None
227.25,151.5,41.3,58.5,18.5,Weekly,2023-03-18,2023-04-30,43,0.7753003543,8,71165,35-44,95401,Winter
271.2,180.8,10.8,58.4,12.9,Weekly,2023-04-13,2023-06-21,69,0.7794379372,202,93354,35-44,93656,Holiday
13.05,8.7,48.9,75,7.2,Monthly,2023-12-29,2024-02-13,46,2.340803317,478,15527,25-34,93035,None
86.25,57.5,32.8,23.5,11.8,Weekly,2023-09-20,2023-11-09,50,1.082478388,310,75255,35-44,93591,None
180.3,120.2,19.6,11.6,13.2,Monthly,2023-02-15,2023-03-30,43,1.989469111,494,40524,25-34,91723,Summer
12.9,8.6,2.1,1,4.8,Monthly,2023-08-23,2023-09-26,34,0.8105641831,448,35915,35-44,93954,Holiday
299.7,199.8,2.6,21.2,10.6,Weekly,2023-11-02,2024-01-03,62,1.254811516,415,66609,18-24,93591,Holiday
99.15,66.1,5.8,24.2,8.6,Weekly,2023-03-15,2023-05-23,69,2.076112422,140,11799,55+,95546,Winter
322.05,214.7,24,4,17.4,Monthly,2023-10-15,2024-01-12,89,1.207207278,115,88747,45-54,90802,None
35.7,23.8,35.1,65.9,9.2,Weekly,2023-07-02,2023-09-03,63,1.723263756,272,16030,35-44,95564,Winter
146.25,97.5,7.6,7.2,9.7,Monthly,2023-09-26,2023-11-25,60,2.371860471,465,61011,45-54,95527,Winter
306.15,204.1,32.9,46,19,Daily,2023-04-15,2023-06-06,52,1.003773258,968,75339,55+,92844,Holiday
293.1,195.4,47.7,52.9,22.4,Monthly,2023-03-11,2023-05-13,63,1.668339269,846,45587,25-34,96121,Holiday
101.7,67.8,36.6,114,12.5,Weekly,2023-04-21,2023-07-12,82,2.357638499,466,38328,45-54,96007,Winter
422.1,281.4,39.6,55.8,24.4,Weekly,2023-11-21,2024-02-07,78,1.738438509,818,55687,25-34,92122,Holiday
103.8,69.2,20.5,18.3,11.3,Monthly,2023-11-02,2024-01-28,87,1.842621563,879,33222,35-44,92123,Summer
220.95,147.3,23.9,19.1,14.6,Daily,2023-04-08,2023-05-11,33,0.7612326738,603,18319,55+,93453,Holiday
327.6,218.4,27.7,53.4,18,Daily,2023-05-26,2023-07-10,45,2.235043434,974,44792,45-54,92869,Holiday
356.1,237.4,5.1,23.5,12.5,Monthly,2023-05-18,2023-07-17,60,1.741797524,566,60818,55+,90033,Winter
19.8,13.2,15.9,49.6,5.6,Daily,2023-03-18,2023-06-06,80,2.099185406,842,89437,45-54,95111,None
342.45,228.3,16.9,26.2,15.5,Daily,2023-07-17,2023-09-18,63,2.612365924,776,90927,35-44,92109,Summer
